datasets,k=1,presisi,recall,time,k=3,presisi,recall,time,k=5,presisi,recall,time,k=7,presisi,recall,time,k=9,presisi,recall,time
ekstraksi_ciri/radius5resize256zona4.csv,44.79,0.45,0.45,2.45,44.26,0.44,0.44,2.75,46.84,0.47,0.47,2.99,47.02,0.47,0.47,2.98,47.63,0.48,0.48,2.93
ekstraksi_ciri/radius3resize256zona4.csv,43.88,0.44,0.44,2.25,41.42,0.41,0.41,2.5,43.35,0.43,0.43,2.71,45.09,0.45,0.45,2.71,44.75,0.45,0.45,2.69
ekstraksi_ciri/radius1resize256zona4.csv,43.73,0.44,0.44,2.71,43.09,0.43,0.43,3.89,44.64,0.45,0.45,3.47,45.21,0.45,0.45,3.39,44.83,0.45,0.45,3.81
ekstraksi_ciri/radius5resize32zona2.csv,43.58,0.44,0.44,0.64,40.09,0.4,0.4,0.71,42.1,0.42,0.42,0.72,42.67,0.43,0.43,0.72,40.81,0.41,0.41,0.73
ekstraksi_ciri/radius3resize32zona4.csv,43.54,0.44,0.44,3.02,41.42,0.41,0.41,3.08,44.87,0.45,0.45,3.1,44.33,0.44,0.44,3.08,44.41,0.44,0.44,3.12
ekstraksi_ciri/radius1resize128zona16.csv,42.74,0.43,0.43,62.94,44.6,0.45,0.45,62.58,51.08,0.51,0.51,63.62,55.74,0.56,0.56,63.42,55.78,0.56,0.56,62.87
ekstraksi_ciri/radius4resize256zona4.csv,42.67,0.43,0.43,3.06,42.25,0.42,0.42,3.17,43.99,0.44,0.44,3.3,43.61,0.44,0.44,3.34,46.34,0.46,0.46,3.39
ekstraksi_ciri/radius5resize128zona4.csv,42.44,0.42,0.42,3.38,43.65,0.44,0.44,3.58,46.46,0.46,0.46,3.65,48.05,0.48,0.48,3.8,48.88,0.49,0.49,3.77
ekstraksi_ciri/radius2resize256zona4.csv,42.06,0.42,0.42,2.19,40.58,0.41,0.41,2.56,43.62,0.44,0.44,2.49,44.6,0.45,0.45,2.58,44.07,0.44,0.44,2.6
ekstraksi_ciri/radius4resize128zona4.csv,41.38,0.41,0.41,2.75,41.27,0.41,0.41,3.21,43.96,0.44,0.44,3.37,45.36,0.45,0.45,3.36,46.53,0.47,0.47,3.37
ekstraksi_ciri/radius9resize64zona2.csv,40.96,0.41,0.41,0.71,37.59,0.38,0.38,0.79,39.83,0.4,0.4,0.8,39.75,0.4,0.4,0.82,41.23,0.41,0.41,0.83
ekstraksi_ciri/radius8resize64zona2.csv,40.55,0.41,0.41,0.54,36.79,0.37,0.37,0.6,38.04,0.38,0.38,0.63,37.63,0.38,0.38,0.63,37.25,0.37,0.37,0.64
ekstraksi_ciri/radius3resize128zona4.csv,40.36,0.4,0.4,2.53,38.88,0.39,0.39,2.72,43.01,0.43,0.43,2.86,44.6,0.45,0.45,2.84,45.77,0.46,0.46,2.83
ekstraksi_ciri/radius4resize32zona2.csv,39.79,0.4,0.4,0.7,35.28,0.35,0.35,0.76,37.93,0.38,0.38,0.79,37.44,0.37,0.37,0.73,37.59,0.38,0.38,0.74
ekstraksi_ciri/radius4resize64zona4.csv,38.54,0.39,0.39,3.32,38.12,0.38,0.38,3.44,40.43,0.4,0.4,3.55,42.18,0.42,0.42,3.49,41.8,0.42,0.42,3.51
ekstraksi_ciri/radius3resize64zona16.csv,37.32,0.37,0.37,53.98,37.25,0.37,0.37,54.63,38.16,0.38,0.38,54.47,40.36,0.4,0.4,54.46,41.61,0.42,0.42,54.5
ekstraksi_ciri/radius3resize64zona4.csv,36.83,0.37,0.37,3.44,34.07,0.34,0.34,3.64,39.14,0.39,0.39,3.69,39.67,0.4,0.4,3.69,42.17,0.42,0.42,3.84
ekstraksi_ciri/radius2resize128zona4.csv,36.38,0.36,0.36,2.43,37.4,0.37,0.37,2.8,41,0.41,0.41,2.88,43.08,0.43,0.43,2.83,42.71,0.43,0.43,2.9
ekstraksi_ciri/radius1resize128zona4.csv,36.3,0.36,0.36,3,34.45,0.34,0.34,3.3,39.75,0.4,0.4,3.47,41.49,0.41,0.41,3.66,42.59,0.43,0.43,3.52
ekstraksi_ciri/radius3resize64zona8.csv,36.23,0.36,0.36,17.5,37.82,0.38,0.38,15.18,42.33,0.42,0.42,15.07,43.43,0.43,0.43,15.22,44.83,0.45,0.45,15.5
ekstraksi_ciri/radius3resize32zona8.csv,36.19,0.36,0.36,12.45,32.7,0.33,0.33,12.52,35.28,0.35,0.35,12.43,35.17,0.35,0.35,12.66,34.86,0.35,0.35,12.46
ekstraksi_ciri/radius2resize64zona4.csv,35.58,0.36,0.36,3.37,32.89,0.33,0.33,3.62,36.3,0.36,0.36,3.64,37.17,0.37,0.37,3.72,38.42,0.38,0.38,3.89
ekstraksi_ciri/radius9.csv,35.32,0.35,0.35,0.12,27.17,0.27,0.27,0.12,25.88,0.26,0.26,0.12,23.57,0.24,0.24,0.12,24.59,0.25,0.25,0.12
ekstraksi_ciri/radius8resize128zona2.csv,34.82,0.35,0.35,0.5,30.73,0.31,0.31,0.61,32.74,0.33,0.33,0.65,32.74,0.33,0.33,0.62,31.98,0.32,0.32,0.65
ekstraksi_ciri/radius7resize64zona2.csv,34.64,0.35,0.35,0.68,31.87,0.32,0.32,0.75,34.22,0.34,0.34,0.77,34.33,0.34,0.34,0.78,34.63,0.35,0.35,0.78
ekstraksi_ciri/radius2resize64zona16.csv,34.44,0.34,0.34,62.56,34.41,0.34,0.34,63.23,40.55,0.41,0.41,50.78,44.87,0.45,0.45,50.1,44.45,0.44,0.44,50.53
ekstraksi_ciri/radius2resize64zona8.csv,34.14,0.34,0.34,16.02,35.73,0.36,0.36,16.07,41.3,0.41,0.41,16.16,43.43,0.43,0.43,16.84,43.54,0.44,0.44,16.65
ekstraksi_ciri/radius8.csv,34.03,0.34,0.34,0.12,24.67,0.25,0.25,0.12,23.72,0.24,0.24,0.13,23.38,0.23,0.23,0.12,21.71,0.22,0.22,0.12
ekstraksi_ciri/radius1resize64zona4.csv,33.76,0.34,0.34,2.69,33.61,0.34,0.34,2.71,37.02,0.37,0.37,2.81,38.04,0.38,0.38,2.78,40.89,0.41,0.41,2.95
ekstraksi_ciri/radius2resize32zona4.csv,33.61,0.34,0.34,3.84,31.57,0.32,0.32,4.01,34.22,0.34,0.34,3.94,35.47,0.35,0.35,3.83,36.57,0.37,0.37,3.69
ekstraksi_ciri/radius9resize128zona2.csv,33.42,0.33,0.33,0.52,31.34,0.31,0.31,0.6,33.12,0.33,0.33,0.73,34.07,0.34,0.34,0.76,34.63,0.35,0.35,0.92
ekstraksi_ciri/radius2resize32zona8.csv,33.38,0.33,0.33,15.79,30.5,0.31,0.31,15.98,34.82,0.35,0.35,16.16,36.26,0.36,0.36,16.08,36.41,0.36,0.36,16.11
ekstraksi_ciri/radius1resize64zona8.csv,33.27,0.33,0.33,12.15,34.37,0.34,0.34,12.85,40.47,0.4,0.4,12.56,42.21,0.42,0.42,12.64,45.4,0.45,0.45,12.66
ekstraksi_ciri/radius6resize128zona2.csv,33.19,0.33,0.33,0.57,31.11,0.31,0.31,0.66,31.49,0.31,0.31,0.69,32.36,0.32,0.32,0.72,31.79,0.32,0.32,0.73
ekstraksi_ciri/radius6resize64zona2.csv,32.7,0.33,0.33,0.69,29.78,0.3,0.3,0.77,30.85,0.31,0.31,0.79,30.47,0.3,0.3,0.81,29.41,0.29,0.29,0.83
ekstraksi_ciri/radius1resize32zona4.csv,32.59,0.33,0.33,2.95,29.56,0.3,0.3,3.17,32.28,0.32,0.32,3.58,36.11,0.36,0.36,3.25,36.68,0.37,0.37,3.41
ekstraksi_ciri/radius3resize32zona2.csv,32.29,0.32,0.32,0.64,28.8,0.29,0.29,0.69,29.4,0.29,0.29,0.73,29.22,0.29,0.29,0.71,30.01,0.3,0.3,0.73
ekstraksi_ciri/radius7resize128zona2.csv,32.06,0.32,0.32,0.58,31,0.31,0.31,0.68,32.74,0.33,0.33,0.71,33.04,0.33,0.33,0.77,34.1,0.34,0.34,0.76
ekstraksi_ciri/radius4resize64zona2.csv,31.49,0.31,0.31,0.59,26.22,0.26,0.26,0.67,27.44,0.27,0.27,0.68,28.42,0.28,0.28,0.69,27.93,0.28,0.28,0.69
ekstraksi_ciri/radius7.csv,31.49,0.31,0.31,0.11,25.2,0.25,0.25,0.12,22.85,0.23,0.23,0.12,22.81,0.23,0.23,0.12,20.58,0.21,0.21,0.12
ekstraksi_ciri/radius5resize64zona2.csv,31.26,0.31,0.31,0.62,28.16,0.28,0.28,0.7,28.88,0.29,0.29,0.72,29.56,0.3,0.3,0.75,30.01,0.3,0.3,0.75
ekstraksi_ciri/radius1resize32zona2.csv,31.07,0.31,0.31,0.51,28.19,0.28,0.28,0.58,28.76,0.29,0.29,0.6,29.33,0.29,0.29,0.62,29.03,0.29,0.29,0.63
ekstraksi_ciri/radius8resize256zona2.csv,30.92,0.31,0.31,0.42,27.32,0.27,0.27,0.51,28.99,0.29,0.29,0.54,28.34,0.28,0.28,0.57,28.16,0.28,0.28,0.58
ekstraksi_ciri/radius6.csv,30.85,0.31,0.31,0.13,22.02,0.22,0.22,0.11,21.52,0.22,0.22,0.12,19.7,0.2,0.2,0.12,18.64,0.19,0.19,0.12
